Geography,"total pop, year 2005","age 0-19, year 2005","age 65+, year 2005","Per Capita Income, year 2000","Persons Living Below 200% Poverty, year 2000","% all Persons Living Below 200% Poverty Level, year 2000",% adequacy pre0tal care (kotelchuck),"% C-section deliveries, 2005-2008","Number of infant deaths, 2005-2008","Infant mortality rate (deaths per 1000 live births), 2005-2008",% low birthweight 2005-2008,"% multiple births, 2005-2008","% publicly fi0nced pre0tal care, 2005-2008","% teen births, 2005-2008",
North Brookfield,4812,1336,591,20205,785,17.12,79.26,10,0,0,6.84,7.33,32.09,7.85,
North Reading,13930,4000,1459,30902,751,5.47,89.17,19.12,0,0,8.5,6.9,6.93,1.06,
Northampton,28803,5595,3999,24022,6149,24.08,84.56,10.41,4,4.67,6.22,3.97,28.54,4.32,
Northborough,14652,4253,1346,32889,1082,7.83,84.8,14.18,3,5.6,6.72,3.54,7.12,2.43,
Northbridge,14184,3969,1925,22515,2409,18.83,87.78,13.38,2,2.43,7.9,6.32,21.37,5.59,
Northfield,3226,825,420,21517,441,15.02,90,17,2,0,10,8,26.8,5,
Norton,19106,5704,1460,23876,1953,11.81,80.75,17.64,0,0,7.6,6.13,14.44,2.57,
Norwell,10382,2907,1344,37222,525,5.49,90.8,22.89,2,0,6.45,8.93,6.95,0,
Norwood,28472,6365,4920,27720,3498,12.46,77.42,16.68,11,7.35,8.22,4.34,21.33,3.01,
Oak Bluffs,3794,842,564,23829,981,26.42,91.15,16.74,0,0,4.85,3.52,46.26,2.2,
Oakham,1892,570,141,23175,170,10.2,81.25,7.81,0,0,7.81,0,17.19,0,
Orange,7659,1968,1050,17361,2144,28.68,79.66,15.71,0,0,7.43,3.39,50.43,10.73,
Orleans,6459,877,2320,29553,1225,19.95,86.62,9.86,0,0,0,4.23,30.28,4.93,
Otis,1391,302,196,25029,305,22.56,82.22,0,0,0,11.11,0,28.89,0,
Oxford,13710,3728,1450,21828,2528,19.16,82.31,9.75,2,3.31,6.28,4.63,18.93,5.79,
Palmer,12895,3330,1964,18664,2984,24.12,82.11,14.54,3,5.95,7.95,4.37,43.37,9.13,
Paxton,4556,1268,619,29573,289,7.21,82.74,8.93,0,0,6.55,5.92,11.9,3.55,
Peabody,50954,11855,8730,24827,7439,15.67,85,13.91,9,4.47,8.13,5.56,31.07,3.72,
Pelham,1415,314,171,29821,180,12.89,78.13,0,1,0,0,0,0,0,
Pembroke,18069,5224,1547,27066,2294,13.62,91.33,16.86,5,6.28,8.04,5.53,15.87,2.76,
Pepperell,11386,3739,866,25722,1354,12.17,80.13,13.94,1,0,6.74,3.91,12.91,4.57,
Peru,836,234,67,18636,174,21.72,76.92,0,0,0,0,0,0,0,
Petersham,1282,285,212,24222,171,15.11,84.09,13.64,0,0,11.36,0,18.18,0,
Phillipston,1753,521,130,18706,300,18.63,91.18,0,0,0,10.29,7.35,20.59,14.71,
Pittsfield,43949,10265,8090,20549,12982,29.13,66.01,12.28,7,3.33,8.9,2.99,55.08,12.26,
Plainfield,600,141,78,20785,176,30.56,89.47,0,0,0,0,0,31.58,0,
Plainville,7994,2204,956,25816,981,12.81,78.96,17.03,0,0,6.95,5.52,11.51,2.16,
Plymouth,54781,14310,6330,23732,8026,16.32,88.14,15.8,10,3.65,6.25,4.46,24.15,4.42,
Plympton,2777,808,186,24344,194,7.37,90.53,18.95,1,0,16.84,7.37,15.79,0,
Princeton,3520,1033,281,32232,331,9.89,88.3,12.77,0,0,10.64,8.51,8.51,0,
Provincetown,3444,303,604,26109,1202,37.13,87.93,12.07,0,0,10.34,0,64.91,0,
Quincy,90458,17676,14373,26001,16871,19.46,87.74,12.14,21,4.38,7.36,3.79,32.45,2.71,
Randolph,32552,8451,4041,23413,4967,16.19,83.8,15.07,13,8.22,8.23,4.68,37.66,4.3,
Raynham,13428,3506,1676,24476,1255,10.84,84.58,13.97,2,3.36,7.21,6.04,19.79,4.53,
Reading,23161,6316,3315,32888,1924,8.17,89.34,16.42,2,1.85,6.44,6.49,6.84,0.93,
Rehoboth,11229,2966,1072,26467,1103,10.85,87.14,20.05,5,0,6.87,5.84,21.6,4.57,
Revere,45551,10446,7218,19698,14699,31.32,81.05,12.78,25,8.69,9.12,3.96,59.23,6.71,
